soc_code,weighted_beta
47-2141,0.01104352456788946
47-2142,0.012777194150832063
47-2151,0.06145004272800309
47-2152,0.0664652896334839
47-2161,0.030307226937303516
47-2171,0.10845308892630369
47-2181,0.08696244869776722
47-2211,0.0
47-2221,0.05042022199896254
47-2231,0.1339220038145328
47-3011,0.0
47-3012,0.0
47-3013,0.01001077998700256
47-3014,0.0
47-3015,0.0
47-3016,0.0
47-4011,0.34249369375414174
47-4021,0.16983817873625903
47-4031,0.019353462207906666
47-4041,0.07467158652281827
47-4051,0.011350858085508408
47-4061,0.0
47-4071,0.056593936341466776
47-4091,0.04019293247777127
47-4099,0.12453488424861202
47-5011,0.0
47-5012,0.04734307131866823
47-5013,0.087534721821244
47-5022,0.0
47-5023,0.0756525814144393
47-5032,0.040339584828784386
47-5041,0.0
47-5043,0.0
47-5044,0.013319969928168517
47-5051,0.06371678023093137
47-5071,0.0
47-5081,0.0
49-1011,0.3830980559527039
49-2011,0.2669765023461403
49-2021,0.1502130909962002
49-2022,0.09709690823492206
49-2091,0.19378574360607873
49-2092,0.07778268128023601
49-2093,0.14870361269663246
49-2094,0.19473518316724842
49-2095,0.2543591936270312
49-2096,0.07462828700003363
49-2097,0.06533157657875922
49-2098,0.05776795559766629
49-3011,0.149327804035067
49-3021,0.03420239222232384
49-3022,0.0
49-3023,0.10868715095461237
49-3031,0.0
49-3041,0.07846725143488642
49-3042,0.07186950573456677
49-3043,0.11514901357927138
49-3051,0.062488163501437675
49-3052,0.0
49-3053,0.13453433205847248
49-3091,0.13936841044860054
49-3092,0.029476612619498174
49-3093,0.0
49-9011,0.11544834632086665
49-9012,0.09669298365932166
49-9021,0.08923037560936214
49-9031,0.17517165866421794
49-9041,0.1673301014411534
49-9043,0.08104289491420563
49-9044,0.00959101191686686
49-9045,0.0
49-9051,0.0
49-9052,0.02206061094950052
49-9061,0.1359757490897391
49-9062,0.18883324452032244
49-9063,0.032975983548776136
49-9064,0.10238673425967858
49-9071,0.1138353982857013
49-9081,0.023251485185185664
49-9091,0.0922092809239424
49-9092,0.02545417913600527
49-9094,0.02970048237607837
49-9095,0.0
49-9096,0.0
49-9097,0.05322810479535699
49-9098,0.021416352976595113
49-9099,0.19858979627561885
51-1011,0.2777077868528051
51-2011,0.04968510852598807
51-2021,0.14859868809581334
51-2022,0.11893105354346904
51-2023,0.05364843305318213
51-2031,0.09957345728401676
51-2041,0.042844402460915254
51-2051,0.01767388096612111
51-2061,0.0
51-2092,0.13940975879130726
51-3011,0.1164067816026335
51-3021,0.03416209981179112
51-3022,0.0
51-3023,0.0
51-3091,0.04788427307701434
51-3092,0.05816672021133207
51-3093,0.0686443118307242
51-4021,0.026976490121043913
51-4022,0.061184752608663434
51-4023,0.12226579298144087
51-4031,0.0
51-4032,0.03972127604203913
51-4033,0.04740622275957829
51-4034,0.08164053148422326
51-4035,0.12606488768969837
51-4041,0.09874823317334655
51-4051,0.06596225752260854
51-4052,0.0
51-4061,0.13113052642807949
51-4062,0.1494149601282611
51-4071,0.0
51-4072,0.08786347196690138
51-4081,0.05646297552478195
51-4111,0.15859934255995312
51-4121,0.03724637908174096
51-4122,0.06658583150620201
51-4191,0.13120278820992304
51-4192,0.11120334438091234
51-4193,0.08271623098518371
51-4194,0.03344171344191312
51-5111,0.45352113565656865
51-5112,0.19648980682320719
51-5113,0.0778277924812522
51-6011,0.025343036999701772
51-6021,0.0
51-6031,0.05151003800612455
51-6041,0.04340103156815818
51-6042,0.03683123063925057
51-6051,0.0
51-6052,0.038433958020302944
51-6061,0.08709597251063277
51-6062,0.1295210254227501
51-6063,0.09339431118444849
51-6064,0.039753762317181286
51-6091,0.03839425287841113
51-6092,0.4493808775060589
51-6093,0.136556204263163
51-7011,0.04747538912533989
51-7021,0.032582045330071384
51-7031,0.11752621470550964
51-7032,0.15523423007846518
51-7041,0.07731405139261575
51-7042,0.06929813849738806
51-8011,0.16521696208213282
51-8012,0.37275780735888714
51-8013,0.12751752911163125
51-8021,0.06626602636237312
51-8031,0.11647179105204263
51-8091,0.13961591310120564
51-8092,0.0738558183190294
51-8093,0.181190550209758
51-8099,0.1407836131716798
51-9011,0.11111836754988821
51-9012,0.09278470704947464
51-9021,0.038029141950468845
51-9022,0.023183477197362565
51-9023,0.06008841477807807
51-9031,0.0
51-9032,0.05229940656089626
51-9041,0.05483605883644516
51-9051,0.06400876757512755
51-9061,0.30359654341784736
51-9071,0.18366504051580881
51-9081,0.06312110819030324
51-9082,0.10467826901646757
51-9083,0.11459590977523604
51-9111,0.0
51-9123,0.0
51-9124,0.037367762067138335
51-9141,0.19459310459634366
51-9151,0.37825984973403254
51-9161,0.11682333295008739
51-9162,0.4942089881213961
51-9191,0.039194704701075576
51-9192,0.0
51-9193,0.0874323175913198
51-9194,0.22120826680824104
51-9195,0.041135296970608394
51-9196,0.0
